Número do Termo;Nome da Organização;Nome do Projeto;Tipo de Termo;Portaria que Rege;CNPJ da OSC;Data de Início;Data de Encerramento;Vigência em Meses;Total do Projeto;Valor Repassado;Conta Específica Prevista;É transição?;Processo SEI de Celebração;Processo SEI de Prestação de Contas;Endereço do Projeto;SEI do Plano de Trabalho;SEI do Orçamento Anual;Tem contrapartida?
TFM/110/2024/SMDHC/FUMCAD;AMHD: Associação Maria Helen Drexel;Laços de Família;Fomento;;4,40062E+13;01/08/2024;31/07/2026;24;157862,68;111739,89;;;6,0742E+15;6,0742E+15;;;;
TFM/092/2024/SMDHC/FUMCAD;Associação Barão de Souza Queiroz de Proteção à Infância e à Juventude / Instituto Dona Ana Rosa;CRIAR - Centro de Referência e Inovação Ana Rosa Ano 2;Fomento;;6,05985E+13;01/12/2024;30/11/2025;12;477468,04;477467,95;;;6,0742E+15;6,0742E+15;;;;
TFM/060/2024/SMDHC/FUMCAD;Associação dos Cavaleiros da Soberana Ordem Militar de Malta de São Paulo e Brasil Meridional;Promovendo a proteção à saúde física e mental de crianças e adolescentes contra os efeitos deletérios da COVID-19;Fomento;;6,28089E+13;01/08/2024;31/07/2025;12;235456,53;235456,53;;;6,0742E+15;6,0742E+15;;;;
TFM/039/2024/SMDHC/FUMCAD;Instituto Social Arca da Aliança;Corujinhas;Fomento;;1,04498E+13;01/08/2024;31/07/2026;24;945968,5;228514,46;;;6,0742E+15;6,0742E+15;;;;
TFM/105/2024/SMDHC/FMID;Associação de Amparo ao Idoso;Agente de Cidadania 60+;Fomento;;4,58988E+12;01/08/2024;31/03/2026;20;611656,26;344276,02;;;6,0742E+15;6,0742E+15;;;;
TFM/113/2024/SMDHC/FMID;IOK: Instituto Olga Kos de Inclusão Social;LONGEVIDADE - Esporte Inclusão (Karatê e Taekwondo);Fomento;;8,74568E+12;01/08/2024;31/07/2025;12;300000;300000;;;6,0742E+15;6,0742E+15;;;;
TFM/114/2024/SMDHC/FMID;IOK: Instituto Olga Kos de Inclusão Social;PÁGINAS DA VIDA - Arte Literária;Fomento;;8,74568E+12;01/08/2024;31/07/2025;12;261708,4;261708,4;;;6,0742E+15;6,0742E+15;;;;
TFM/048/2024/SMDHC/CPPI;Instituto Sorrir para Vida;Onco Rir;Fomento;;9,66539E+12;01/06/2024;31/12/2024;7;100000;100000;;;6,0742E+15;6,0742E+15;;;;
TFM/086/2024/SMDHC/CPIR;Sociedade Santos Mártires;Formação Antirracista para educadores Populares/Sociais;Fomento;;6,07316E+13;01/07/2024;28/02/2025;8;350000;350000;;;6,0742E+15;6,0742E+15;;;;
TFM/103/2024/SMDHC/CPCA;AEB: Associação Evangélica Beneficente;Escola de Música - Criar e Tocar;Fomento;;6,17059E+13;12/07/2024;11/07/2025;12;220000;220000;;;6,0742E+15;6,0742E+15;;;;
TFM/075/2024/SMDHC/CPPSR;Movimento dos Pimpadores;Oficinas Pimp Estoque;Fomento;;2,53406E+13;10/06/2024;09/12/2024;6;82000;82000;;;6,0742E+15;6,0742E+15;;;;
